구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2008년04월15일,1861.80,1681.33,1585.35,1159.41
2008년04월16일,1871.39,1692.15,1600.81,1168.47
2008년04월17일,1874.54,1686.56,1594.53,1174.24
2008년04월18일,1877.81,1689.68,1602.15,1179.31
2008년04월19일,1880.39,1692.91,1606.71,1185.59
2008년04월20일,1877.12,1693.99,1608.21,1186.81
2008년04월21일,1881.82,1695.54,1610.82,1191.62
2008년04월22일,1883.94,1698.21,1614.47,1196.70
2008년04월23일,1889.69,1703.35,1620.02,1199.33
2008년04월24일,1901.13,1713.37,1635.52,1211.42
2008년04월25일,1903.31,1719.99,1646.75,1221.05
2008년04월26일,1902.57,1725.55,1655.30,1225.78
2008년04월27일,1904.76,1723.25,1652.37,1229.40
2008년04월28일,1905.92,1726.50,1657.51,1237.79
2008년04월29일,1906.73,1728.43,1660.29,1243.55
2008년04월30일,1908.83,1731.16,1663.93,1246.53
2008년05월01일,1921.08,1737.77,1673.26,1255.18
2008년05월02일,1925.98,1741.17,1678.24,1260.97
2008년05월03일,1925.58,1743.80,1682.21,1262.35
2008년05월04일,1925.69,1744.12,1683.82,1262.34
2008년05월05일,1925.57,1744.77,1684.45,1265.14
2008년05월06일,1923.17,1745.55,1685.74,1267.30
2008년05월07일,1926.78,1746.78,1687.59,1269.02
2008년05월08일,1927.36,1748.73,1689.63,1271.47
2008년05월09일,1928.07,1751.05,1693.17,1272.36
2008년05월10일,1929.31,1753.34,1696.56,1275.27
2008년05월11일,1930.44,1754.64,1698.54,1278.15
2008년05월12일,1930.83,1755.29,1699.45,1278.69
2008년05월13일,1930.57,1757.10,1701.10,1280.45
2008년05월14일,1938.90,1763.15,1708.19,1285.77
2008년05월15일,1962.27,1780.73,1731.62,1308.18
2008년05월16일,1969.96,1790.21,1745.05,1322.83
2008년05월17일,1970.76,1795.26,1753.52,1330.91
2008년05월18일,1973.76,1797.04,1756.24,1333.78
2008년05월19일,1974.47,1798.83,1759.28,1337.59
2008년05월20일,1972.91,1802.92,1763.87,1340.40
2008년05월21일,1986.89,1813.93,1781.44,1357.69
2008년05월22일,2020.25,1841.37,1824.86,1399.74
2008년05월23일,2026.89,1853.25,1843.96,1420.52
